x,y,area,peak
6.094,2.411,8,42532.0
320.199,240.147,153812,65535.0
560.374,5.810,7,32232.0
41.016,9.304,9,27106.0
46.513,15.385,7,24070.0
217.119,30.034,11,28639.0
156.087,32.709,10,30843.0
335.793,33.687,6,43164.0
544.941,55.861,12,39835.0
622.366,63.385,6,43107.0
246.859,76.158,6,36996.0
38.972,87.478,21,41100.0
216.881,95.751,6,19299.0
146.871,113.997,11,34505.0
584.321,116.010,8,41181.0
553.219,116.408,7,25160.0
537.288,130.129,6,24249.0
461.699,144.279,6,40137.0
159.036,162.897,7,37523.0
144.629,167.704,8,34560.0
141.093,173.406,12,35773.0
296.546,173.124,17,41171.0
445.519,176.035,6,33102.0
139.546,177.469,6,21594.0
7.406,215.668,81,45989.0
66.170,223.939,7,37278.0
239.672,232.106,9,13324.0
416.061,230.522,26,37263.0
154.248,235.691,19,28925.0
166.858,242.811,13,32923.0
525.352,244.074,6,24083.0
77.215,252.829,10,38672.0
478.116,251.375,10,36186.0
362.321,253.521,6,16168.0
602.478,256.251,14,23287.0
99.640,258.071,16,36719.0
73.262,261.845,10,36017.0
450.203,273.325,10,35219.0
280.893,278.439,16,41259.0
471.203,280.429,16,32734.0
22.061,290.191,9,41186.0
361.511,300.162,11,21343.0
588.194,317.771,7,23557.0
166.200,325.683,7,44391.0
296.713,337.813,10,18561.0
459.474,346.281,7,28961.0
499.092,351.007,9,28195.0
243.118,354.804,12,28520.0
618.854,358.501,23,40430.0
309.326,367.343,13,58048.0
154.711,382.268,16,38314.0
440.201,404.553,8,24839.0
501.250,408.306,18,43520.0
121.308,432.227,12,40901.0
549.089,430.530,9,39191.0
7.866,437.484,7,40318.0
607.787,442.193,11,40236.0
623.223,444.520,10,37677.0
380.780,454.065,14,38875.0
376.830,458.177,7,28512.0
311.501,468.610,6,40109.0
